,pid
1665553,740960
1838710,811893
1197433,528917
1423590,636826
1301601,578671
2116083,934815
1956762,864875
1032544,452303
232919,97645
2138439,944578
1382565,618144
962619,422530
1451163,649083
1576365,702697
13821,5637
604352,260086
44422,20273
1789255,791310
2140600,945333
540934,232858
599429,257824
593706,254757
1617752,721241
2189609,968624
138354,58560
237923,99724
42303,19439
1339557,596429
2117681,935658
2054893,909154
1029545,450327
400891,170795
312546,131662
1128583,494963
63120,27669
1971843,871966
391732,167170
523841,225051
2086533,923188
429429,182377
488365,208331
1879798,829551
1531271,683129
1926733,850552
397149,169296
1101564,484599
469902,199386
95232,40655
1409749,630398
747329,325205
1663096,739987
849269,369431
1801280,796783
804611,349663
1071106,470620
1737911,769977
2138691,944727
1704190,757327
1914586,844526
644085,278768
170645,72061
1257260,557601
220176,92702
757034,329338
271504,113155
736568,321251
254067,106988
1707044,758733
763324,332798
1982095,876685
1471711,657470
251803,105376
2238509,992102
1680995,747342
1148109,504437
1943815,859102
1280491,568609
2059588,912172
2183579,965855
1712084,761183
1271138,564377
1460939,653321
232661,97602
2034935,900948
2181605,964503
481866,205235
1412845,632396
2219921,983705
1439597,644466
1615630,720018
1157004,509149
1397818,625005
417019,177542
1225754,543563
849402,369493
1776864,786453
342183,144668
486453,207551
1479986,661066
2121440,937148
110468,47081
725384,315954
998271,437876
56265,24706
246483,103787
1140932,501378
1582661,706284
1197891,529047
490954,209932
10366,4425
2049736,907719
1195759,527541
724055,314906
2120918,936980
1574316,701848
1965697,869025
1454883,650793
613830,263837
1179402,520622
1186463,523553
545692,234785
446281,189002
473409,201484
370447,157949
1335609,594481
1867879,823887
1458607,652607
803125,348941
892502,389155
165140,69379
2085785,922848
907106,395527
766389,334205
770865,335800
1493989,666673
2152622,950538
1676305,745670
1085858,477631
779480,339963
305533,128246
2122227,937525
1776732,786435
195852,82162
1606024,716013
1099412,483340
2186439,966756
1433242,641652
135647,57575
1404632,627880
554310,237900
1144364,503007
1684821,749198
609273,261706
913769,398346
1480916,661443
476128,202610
342923,145005
542364,233447
1889388,833540
871175,380205
1086881,478454
2075966,918709
1086982,478561
526287,226106
1786558,790092
532027,229132
1497031,668667
411246,175082
636550,275140
179421,76112
1996482,883522
1326989,590590
2183375,965825
1978106,874898
224811,94642
2213838,980642
1652382,735581
1874628,827476
911212,397240
874379,381247
2041097,903707
1201283,531252
1324852,589643
190891,80237
1748723,774864
832421,361107
2227099,986459
1499189,669481
1868515,824353
1091070,479764
418930,178603
85368,36057
271720,113183
494451,211469
1479834,661050
1098969,483230
1685452,749408
240723,101171
1547833,690664
2179125,963298
726185,316448
1548206,690836
134267,56997
10145,4267
885907,386397
1930366,852842
1468306,656111
557793,239753
804827,349795
558863,240297
1297037,576801
1276394,565847
1593584,710670
1661033,739136
409117,174464
1373290,613303
842912,366376
776553,338170
56480,24846
1842232,814135
670681,291566
2194133,971314
1948483,861182
517953,222433
561706,241391
1393375,622668
1632626,728184
1218714,539175
142129,59784
1428243,639175
604685,260249
548760,235869
1985088,878431
646583,280107
2109268,931100
1211610,535799
1551885,692153
1794380,793615
1708673,759461
1939113,856922
1961540,866991
1852203,817738
2175691,961709
438646,185948
182088,77307
35893,16143
2137734,944129
849547,369495
1549814,691261
2231585,989314
1713887,761994
1672996,744722
715979,311983
2198318,973500
504371,216593
1096335,481912
415837,177153
1394277,623295
1464734,654686
1338903,596117
906066,395218
1951657,862900
657461,285185
268885,111936
978242,429055
865113,377392
836467,362781
976009,427933
837802,363461
2149423,948879
1268601,563121
884555,386041
1283619,570164
36513,16633
2198199,973490
902290,393444
626687,270467
60935,26719
362195,154296
1641010,730955
1834718,810084
2252762,998537
43781,20137
786278,342678
871511,380312
145295,61095
677822,295177
33945,15131
1913063,843617
1001638,438684
1789744,791531
559512,240452
310012,130413
1281375,568944
2136908,943749
937885,410088
1330876,592662
1437452,643409
889172,387741
473177,201343
1937967,856618
71463,30714
548893,235924
2046751,906450
824226,357888
1114799,489799
954960,417919
2056997,910595
1949161,861563
1365154,608809
882252,384487
1849979,816961
1943232,858934
672574,292283
1485309,663480
504848,216838
859521,374905
2197475,973100
1481631,662017
1102635,485313
1176828,519462
326305,138374
884209,385933
1433956,641862
672705,292287
1339962,596659
1571077,700727
509664,218949
899263,391691
255666,107469
294232,123148
1908721,842261
1514613,677054
137250,58204
343936,145629
481043,204964
2009511,889400
230454,96873
388806,165467
1976576,874475
1674831,745309
1740062,770625
1415649,633484
202975,86012
2011473,890568
971152,426207
1999588,884993
1248830,553020
453132,192222
1830506,808295
1864743,822575
527510,226674
1482545,662229
1974962,873851
2226136,986152
1248085,552839
2043869,905274
265021,110585
361040,153348
192658,81050
756436,328874
629002,271980
236617,99094
1665068,740928
459808,195124
1516968,677897
647293,280775
1431013,640549
709423,309463
1750715,775477
26645,11502
119050,50688
671930,292011
558348,240134
1689465,751194
554780,238112
616012,264976
1837503,811394
1751759,775711
504969,216853
1504631,672448
284275,119330
1104578,485889
1269828,563650
1240508,549850
1016478,444721
628385,271490
2229994,988060
704086,307013
2184270,966207
1177332,519579
1467103,655803
1463396,654156
433679,184061
121034,51618
2025240,897233
1560766,696174
1587607,708470
277807,115980
1591951,710168
1359218,605589
2208651,977897
808543,351620
1396354,624408
706948,308515
1296620,576728
1343447,598375
1041217,455557
942507,412141
1055731,463468
2014831,892210
1081638,475052
1387894,619944
79037,33833
1683518,748679
176638,74987
139300,58730
1976803,874551
519661,222929
328896,139360
162673,68424
277939,116024
938872,410529
1067575,468672
1658174,738189
121284,51630
1717798,763415
715124,311625
515939,221414
1779800,787717
2116315,934887
998038,437693
539498,232277
429184,182333
244860,102832
943084,412207
506884,217630
665077,288677
107688,45668
73448,31783
22784,9699
446983,189711
862502,376662
329390,139522
1459391,652699
519419,222920
2074911,918474
804712,349760
1475250,658983
1555269,693422
831759,360708
1229567,545710
1222260,541716
2209971,978486
392080,167331
1471470,657194
432224,183436
1959617,865918
1173343,517272
1743037,772025
1171297,516027
895411,390120
1054804,463089
2095330,926020
901986,393388
14339,5856
790450,344252
201838,85416
955237,417959
1340546,596990
1488269,664438
927841,405603
2057916,911068
1416209,633581
1566417,698695
756557,328904
2217372,982168
1428019,639154
216937,91108
996164,436873
906720,395378
417865,178172
2068087,915203
983484,431165
47066,21123
565042,243060
261955,109453
1030281,450677
1612378,718419
1635405,729191
174085,73730
286827,120282
847880,368868
1553784,692987
540263,232577
825444,358091
1147120,504167
612523,263066
2101163,928020
718224,312803
1323476,589007
2225153,985699
1262018,559848
80252,34212
219805,92511
126171,53628
1643251,731866
1339662,596552
431414,183269
1401772,626849
122267,52176
365061,155415
1960581,866314
1398305,625331
1485561,663569
2039940,903374
1681252,747514
1275050,565526
1384740,619065
249474,104742
262755,109630
2136129,943544
516077,221471
1094024,480701
570255,245265
951466,416873
1903146,839924
1151491,505802
1284230,570344
357350,151504
975402,427700
1112487,489178
699698,304599
1441443,645141
1280384,568592
1732961,768160
1984826,878239
1288877,572404
1880147,829770
1405836,628487
963291,422720
2076712,919479
1062336,466116
1229788,545728
1224715,543301
739442,322437
280707,117735
2064491,913859
1458230,652354
387609,165117
2082201,921449
1301814,578836
1110823,488274
1129142,495310
528820,227287
198027,83113
2079206,920320
2520,977
1634556,729043
100901,42658
110242,47016
1277133,566298
311264,130998
1593468,710575
1628004,726036
39224,17502
2223185,985134
102087,42815
807975,351299
516991,222130
2188484,967980
1259069,558161
2127401,939844
286134,119924
131245,55281
1960725,866631
1513747,676799
1830177,808175
281328,118027
1185976,523103
1801072,796715
610820,262415
295220,124081
774975,337354
838117,363552
501500,215186
314097,132428
2016187,892871
1920196,847508
1314494,584777
205255,86741
1918066,846428
113840,48357
559369,240447
943769,412621
870470,379705
852751,370912
64247,27996
536095,230875
506445,217355
1619591,721899
620785,267469
1223004,542436
461280,195826
1371373,612465
1552651,692477
1411209,631439
1969371,871082
1828324,807147
1496127,667789
671246,291732
1133270,497403
417605,177891
2242023,994127
909182,396246
579226,248983
1219188,539431
2177393,962305
1869665,824798
271322,113152
2193838,971031
354031,149897
2154744,951401
320218,135653
710274,309778
13478,5578
1961419,866967
114348,48537
236112,98916
453721,192583
1066574,468042
1702648,756858
1883593,831128
26072,11290
1833401,809510
2048171,907220
206286,86903
1003858,439473
1465937,655159
586424,251901
127628,53964
279233,116547
2072230,917302
1223124,542450
653917,283674
2104537,929284
1031086,451196
1708310,759268
1680211,747188
414469,176577
2093826,925633
807457,351177
140211,59185
879984,383482
1724959,765779
2028403,898316
1131699,496809
541471,233128
1786071,789896
1006346,440142
236354,99029
1296776,576754
1035520,453869
2189497,968621
622288,268071
575742,247322
206569,87069
1231586,546535
2077247,919519
699591,304446
708680,309126
633475,273768
808211,351373
2086102,922870
2106831,930248
1684164,748922
484449,206650
201119,85019
307474,129281
649655,281649
1217306,538597
928554,406037
319671,135429
424773,180606
1244993,551849
1154134,507181
405012,172292
471138,200199
2252140,998404
1077590,473204
1196169,527851
1478799,660550
2243018,994619
1957289,865035
1649560,734501
702671,306260
1064766,467192
309362,130253
25791,11218
835533,362483
402876,171305
48818,21514
1658958,738361
1430150,640177
707470,308775
2183141,965674
51502,22668
142241,59845
1287413,571600
838608,363749
1321313,587682
1363164,607813
1145869,503877
2003772,886927
1516378,677682
1692481,752866
2175896,961737
747871,325345
1017303,445061
646343,280051
236504,99078
1486693,663965
1413999,632666
1489338,664803
1171185,516022
2040733,903447
1715722,762644
43200,19696
687224,298975
547065,235235
872342,380540
352146,148988
1877336,828638
2024799,897085
902476,393590
1721181,764399
193158,81229
1135356,498322
375199,160209
1795818,794221
1259985,558604
1850084,816983
601101,258611
700461,304908
1922517,848382
1842074,814041
948538,415179
22504,9412
1283744,570178
1882488,830734
2097239,926870
2148868,948689
236247,98948
838720,363787
501808,215236
1200883,530852
1453251,650167
1686718,749799
388908,165551
1845881,815713
824371,357983
620619,267404
2186310,966662
845118,367419
1933483,854615
1627594,725691
679604,295556
69011,29854
1983567,877436
785279,342224
1071817,470958
1901060,838899
1185475,522662
1028067,449879
1313804,584460
1529432,682291
851050,370249
1224991,543334
1632137,728024
1954858,864110
974870,427631
494917,211696
1639892,730726
492390,210871
1694787,753349
224022,94416
1403706,627387
239056,100314
1753794,776429
155539,65134
842457,365758
1276603,566110
1822003,805069
616540,265088
278075,116099
1051681,461531
668001,289926
366890,156685
2147007,947980
863871,377046
1043880,456993
2074069,918111
511175,219445
404655,172095
1437136,643199
783179,341135
191885,80695
1024101,448117
1552131,692240
540076,232441
1126481,493834
1799275,795596
1775113,785885
923379,402851
288720,120962
116961,49593
34428,15225
775723,337855
458725,194806
1891498,834572
549809,236173
898764,391639
1559621,695363
1922750,848949
2051559,908042
550074,236241
420926,179055
495464,212005
1524529,680488
287553,120648
1852074,817732
414950,176734
1324069,589242
1882598,830736
1805951,798708
1626624,724992
320845,136015
2206237,976413
214418,90103
1851233,817500
772292,336224
1218851,539230
1626198,724778
1709984,760050
907420,395643
1764114,782050
1992024,881782
1966810,869893
1909281,842360
1838827,811900
39054,17497
1891266,834362
186007,78297
205150,86683
1186142,523283
847160,368476
1724148,765459
1934079,854933
1756876,777925
869196,379254
1498718,669288
593177,254676
1979858,875489
1832861,809363
1662944,739885
1670526,743414
1492577,666142
1370976,612027
30299,13429
472551,200751
210529,88518
1789863,791535
2149980,949107
1883919,831164
2139418,944989
1501117,670229
455671,193342
1867771,823793
60355,26470
2199332,973898
1495882,667543
564746,242842
1436601,643105
1696223,753693
159529,67069
1905182,840587
326748,138752
576211,247657
2201463,974864
1294513,575187
1132789,497293
2086677,923214
1549572,691246
101411,42741
1361069,606459
1831939,809015
1200773,530780
1962519,867309
1162999,512356
1527950,681865
1328458,591094
2226010,986039
2114777,934066
938166,410207
1953827,863637
202267,85649
914294,398541
1545490,688712
674712,293353
1646348,733195
2175794,961710
155895,65242
1504855,672765
1533997,684223
1688897,750831
2100473,927816
673811,293047
1266547,562027
1117727,490866
822640,356686
123994,52642
2034760,900711
2047115,906541
881124,384354
1168238,515001
1390540,621507
558997,240389
704917,307215
810398,352269
875856,381700
2139648,945068
1425541,638139
1421981,636116
1354607,603379
54189,23974
212078,89233
2236856,991568
961450,421957
1855841,819736
1437873,643672
1507526,674347
799120,347522
634755,274149
1795124,793861
500998,214844
1077802,473342
1902121,839266
1940376,857391
1983456,877356
1742740,771917
728921,317535
397748,169456
85981,36296
437238,185473
1787597,790377
712856,311071
344791,146064
758137,330296
2045820,906037
910833,396824
1515774,677623
348379,147526
163661,68666
573881,246135
753583,327401
1419986,635670
1558863,695014
171513,72513
2193514,970951
1211378,535707
202166,85631
1993098,882333
225148,94815
1205937,533308
447552,189866
1470652,656800
2141325,945697
885634,386367
727550,317008
1108700,487566
566631,244062
1466691,655689
720530,313587
971280,426212
2130501,941033
2179593,963536
1984724,878130
1264114,560869
1989941,880746
1631951,727945
813605,353396
427484,181714
396643,168993
840711,364903
929457,406405
1357708,605118
1105835,486422
1060372,465087
211310,88845
1698450,754496
208166,87607
248923,104538
1101773,484843
405218,172405
1237299,548633
2149176,948854
3807,1343
2157052,952529
39795,17870
367070,156711
1590840,709679
2040845,903582
1686334,749731
1996595,883534
72490,31272
1012058,442838
2199591,973982
1039814,455104
1513396,676727
1172341,516636
761555,332166
2191416,969672
1149178,504947
1941407,858248
1361644,606849
30551,13598
2021946,896164
606696,260904
789531,343863
1672257,744513
1973007,872477
716378,312124
872207,380486
2073700,918081
1215990,537843
502678,215753
797328,346950
386505,164652
1417583,634029
1223225,542466
702341,306082
537779,231599
1786877,790203
1029788,450365
631264,272958
381411,162784
380873,162653
1692966,753011
870834,379996
2158581,953390
2252979,998736
1910248,842640
778601,339647
1751878,775721
1531879,683400
945106,413395
1413892,632617
1899313,838374
1216769,538146
1122806,492075
2157455,952643
1680587,747256
1491298,665985
1983055,877021
291620,121922
780550,340334
1806978,799306
310295,130479
1650969,735129
1846816,816062
2156422,951954
595705,255964
915723,399380
1562855,697147
15024,6065
684283,297710
1336794,595024
1069189,469680
1194759,527150
1950495,862202
121978,52114
181165,77009
412505,175599
634637,274097
66542,28880
1178037,520084
867482,378014
995929,436835
1686567,749747
797882,347155
1315158,584876
1661159,739191
1568132,699356
2056876,910488
342548,144740
2045922,906067
64680,28254
956799,419079
700881,305086
1442594,645607
1463205,654147
1088374,478888
1050239,460232
2235909,991077
1872980,826826
457650,194398
1887656,832676
910997,397001
52752,23194
1571818,701030
1073858,471919
2086204,922921
1022302,447371
1915613,845178
1965524,868922
417711,178167
1250338,553824
1010311,442145
1552238,692350
1247701,552640
181047,76978
883056,384914
1856317,819918
438290,185863
169816,71664
530164,227939
390969,166818
751516,326645
1202302,531616
797117,346824
1465046,654781
831083,360199
738588,322214
2049525,907632
211431,88984
1676445,745718
1185068,522581
1505971,673397
1648232,734163
636182,274832
14229,5807
1821448,804725
2232791,989826
1341548,597311
1574571,701958
1582556,705976
1191283,525843
1012411,443152
416239,177287
171378,72460
1678933,746724
848116,369001
178267,75660
1197087,528757
2030028,898985
569249,244835
2025742,897377
448932,190721
812022,352620
1369838,611603
1337697,595677
1996737,883765
737826,321873
189932,79751
30414,13511
290907,121798
1231853,546747
1044332,457577
289024,121023
1809002,800190
1453361,650183
276234,115253
224626,94598
1747040,774205
1292071,573910
1394422,623324
15923,6323
731008,318706
1821606,804788
1507739,674649
1104238,485809
1758390,778656
95433,40863
667764,289832
1834358,809950
2173852,961072
332559,140802
1598856,712573
1717951,763443
553870,237862
1618207,721377
1330301,592348
1982935,876991
1617638,721178
727441,316995
1875692,828089
1787941,790439
1381550,617592
1274062,565209
1024233,448146
2032648,899948
1395331,624001
2162695,955702
1730193,767498
495987,212618
52522,23106
872490,380674
2030410,899245
1850208,817081
2186857,966951
295832,124696
61969,27362
1004803,439866
791933,344832
514479,220797
544062,234030
10255,4296
1429876,640097
1675605,745406
1873235,826884
1639783,730686
784424,341934
117091,49631
1684568,749141
565183,243117
2154861,951411
420686,179012
1828585,807259
346259,146630
209780,88274
1369990,611735
421378,179100
1846377,815787
1279647,568247
438809,185956
1320513,587274
199570,84108
1054347,462739
402034,171168
1788524,790816
2037505,902536
272679,113554
1607123,716230
460321,195325
1512482,676397
384646,164022
683622,297266
1488906,664625
954227,417833
1527837,681846
1050012,460074
762554,332575
152915,63851
699819,304655
1701678,756126
886035,386399
90586,38891
1878297,829049
2093525,925602
655893,284440
1537583,685473
1910359,842702
1559258,695093
282460,118487
593960,254900
530386,228167
426166,181118
137969,58436
2075071,918527
2004972,887480
2097030,926739
112190,47670
683341,297191
1052787,462131
937530,409994
1072660,471395
1662820,739877
447869,190217
1654497,736493
1062568,466248
1114586,489694
1575996,702493
511775,219730
418211,178301
557188,239332
1840472,813103
1849851,816929
62563,27455
1881736,830322
2051067,907923
148890,62572
126303,53683
2195010,971770
874969,381391
1138989,501019
1896903,836949
491594,210325
342061,144599
663252,288057
2220585,983919
1738199,770011
1591310,709892
630676,272901
2211788,979435
1130583,496113
881488,384380
1463551,654218
955398,418032
1957411,865090
1784355,789470
2180567,963905
2173513,960742
1347930,600610
398843,169808
779947,340074
2009856,889859
1902790,839627
1365593,608891
1781331,788099
1988519,879973
90190,38557
1913298,843719
1617352,721013
711827,310460
2214064,980883
1436405,643054
1621747,722923
951339,416868
151407,63396
878468,383081
1533674,684123
773796,336893
1413067,632423
701762,305732
525031,225501
1101454,484583
1233375,547174
328682,139293
1288772,572364
837004,363248
2049633,907648
1383889,618363
2160824,954858
1421875,636033
397477,169426
12132,4891
1817601,803147
1191167,525547
380084,162237
445669,188636
1543001,687876
1476587,659661
358587,152228
1060900,465373
801366,348206
735266,320299
1597627,712234
1087600,478743
717263,312392
1041968,455925
2182583,965231
87947,37726
921216,402047
538138,231866
1387024,619574
1310937,583355
2252654,998518
1631163,727606
489641,209133
1735512,769113
788986,343787
1964046,868063
2164754,956929
1206174,533440
644545,279151
1767494,783280
395911,168605
1638406,730153
2040166,903391
1137201,499696
490056,209610
1921722,848121
1885649,832180
1436820,643158
277056,115757
1426416,638709
420124,178945
967485,424702
2029650,898707
639928,277274
146754,61730
1886990,832536
874273,381238
106482,45181
443606,188119
1977235,874610
849847,369788
1605573,715824
136410,57875
24025,10418
1652037,735390
244126,102425
1564897,697901
1609399,717210
115853,49105
1490351,665418
672117,292068
579760,249238
1242558,550885
2173631,960932
523444,224834
862842,376917
120450,51340
359395,152623
718753,313026
1987751,879734
1414237,632813
482521,205674
1098848,483051
419139,178685
226114,95286
2171767,960139
2073904,918107
823121,357261
2250853,997812
2213692,980611
1133022,497362
391512,167040
1127739,494689
1318708,586334
788038,343388
1162573,512078
1931628,853675
1748199,774779
763750,333106
761081,331777
1601459,714022
853922,371529
947857,414859
1985662,878688
733582,319790
912499,397658
193592,81402
1829925,808049
7448,2990
1631469,727706
1242913,551268
292160,121995
75035,32172
1846156,815736
191368,80411
181861,77298
483466,206238
1410240,630655
670787,291577
297444,125308
2975,1028
337159,142608
1702335,756474
48700,21512
1353770,602910
58973,25753
366574,156432
415557,177050
1275915,565740
678234,295251
1948825,861536
297859,125584
1683154,748496
1900191,838698
949803,416049
467614,198309
1659434,738567
1097180,482246
1151736,506054
1557923,694572
477416,203388
1446609,647107
627843,271057
140786,59238
2101467,928172
1373809,613948
841759,365501
1419130,635053
86780,36739
144251,60494
324724,137896
707355,308579
2121331,937140
2057307,910685
926135,404442
1406898,629080
1633368,728559
54561,24136
1837374,811351
591878,254130
252964,106289
898292,391475
1299790,577571
1279774,568280
134135,56945
1009210,441718
316444,133242
1499418,669615
1916210,845392
1400487,626087
1167559,514723
928223,405751
1120457,491337
1009481,441761
1998444,884762
1593991,710731
335903,142144
322495,136987
1128480,494892
1520420,679169
1757646,778470
1291192,573814
318330,134296
1503231,671367
2229531,987923
1672424,744533
974737,427577
1612755,718481
2244942,995641
1956658,864843
1969940,871136
1971478,871761
2158377,953226
107191,45403
715863,311902
139543,58868
335105,141934
848347,369178
2081370,921114
783306,341188
276445,115316
455928,193501
1273895,565154
769748,335423
877449,382333
112034,47639
95971,41228
578036,248498
427117,181470
171243,72458
427977,181854
603937,259866
567522,244408
1676629,745936
2139143,944903
555125,238254
1563101,697174
163776,68706
555391,238279
2149854,949022
211953,89183
1640148,730808
623329,268559
1933,734
1009745,441816
207404,87355
2094574,925781
243283,102079
354949,150321
1896500,836831
2190583,969167
151799,63471
688078,299301
1827483,806993
654293,283854
1626081,724699
890303,388371
2210923,979177
1840965,813501
2151308,949845
1998913,884805
1208971,535121
6065,2121
2166005,957533
1219415,539522
706547,308161
1351742,602079
1627221,725403
58578,25693
776292,338100
502954,215984
207169,87243
185781,78168
1256145,556940
2140921,945493
2205766,976271
659094,286229
1307129,581380
1540729,686996
437464,185615
601610,258764
164657,69120
561381,241248
687434,299193
1993564,882385
795630,346098
583288,250670
1134226,497636
1274923,565468
182418,77338
1288669,572210
1179144,520534
624214,269152
1338074,595829
2206975,976942
798854,347449
1973955,873128
230665,96929
1759768,780039
1711177,760815
1009980,441924
1215300,537614
503506,216146
2247049,996555
85855,36264
2173278,960628
1913866,843982
970135,425773
1839724,812430
1385094,619220
972744,427194
516890,221962
1443031,645700
840135,364585
1757924,778511
162163,68043
951827,417005
200729,84757
87359,37384
2164650,956777
467304,198211
0,14
1106062,486551
2247782,996798
456518,193971
1076104,472624
71223,30642
924924,403892
1350172,601512
854069,371546
1071687,470823
1669076,742750
1924412,849648
2239659,992666
1565435,698080
1348392,600926
1524768,680686
1450176,648768
171031,72139
1070969,470559
1554699,693326
108606,46195
1995156,883067
1739224,770273
660609,286867
723441,314744
2247216,996572
1797197,794650
650001,281778
1073645,471895
1887938,832830
712500,311031
1728217,766783
859851,374956
236788,99101
371768,158622
862295,376621
1958682,865521
1469861,656577
946429,414285
1345846,599283
1258931,558128
10710,4508
1736500,769512
863198,376974
335263,141950
679831,295691
1687082,749935
944166,412856
883757,385554
1443389,645790
787038,343082
189710,79704
1220928,541278
1720615,764225
550994,236881
146979,61817
1919309,847089
1356183,604165
1796767,794548
1955445,864347
675322,293753
1638669,730453
1396185,624405
2143080,946552
507837,218133
506552,217403
1678111,746457
439285,186254
37888,17200
2248379,997002
670336,291443
1866710,823510
1771653,784563
1214996,537528
445944,188823
315979,133148
1080678,474843
2241901,994087
1439876,644501
993393,435556
333345,141109
487404,207981
87839,37688
891062,388655
1266116,561976
1240913,549901
1246220,552186
1981327,876261
353017,149311
2151692,949937
1976971,874597
1145006,503365
918602,400738
1139791,501056
1099796,483380
1371997,612762
800439,347904
1911784,843139
737929,321914
178732,76043
1534861,684692
1004694,439750
1951773,862905
1714303,762117
1117077,490555
597479,256994
1675488,745393
1330519,592481
494780,211550
1048466,459142
1936678,855893
1141660,501622
984031,431445
1890573,834237
1062884,466373
484556,206671
1570184,700438
781517,340572
1515397,677319
618003,265630
404903,172208
623886,268921
1287259,571597
1374259,614190
1161252,511473
1938333,856627
2089953,924534
244366,102559
8873,3732
1997885,884533
1107671,487279
448590,190463
1455382,651091
296877,125121
1752943,776177
2133200,942127
139407,58753
1397695,624975
766854,334419
966469,424218
689569,299947
1137569,500223
24149,10425
843235,366544
449174,190743
620051,267028
1089552,479395
2029923,898878
1168774,515250
91596,39357
1416060,633574
499926,214104
48523,21481
1959241,865705
1392810,622447
602935,259379
659367,286318
1154381,507307
101561,42781
126600,53764
581464,249983
1273725,565111
421261,179085
607118,261173
543334,233692
1632514,728145
2099564,927556
1712886,761442
253916,106961
2228927,987577
1943336,858997
961847,422156
308470,129651
2044010,905306
1579189,704298
1670646,743447
1892970,834928
1973757,873111
1944419,859284
2168147,958808
2224453,985560
2042578,904087
339469,143671
1243527,551412
599963,257974
460767,195573
1759026,779466
775104,337386
1003302,439265
115327,49041
132053,55612
1684460,749115
2167672,958432
919091,401292
514598,220882
1278332,567420
1405039,627994
466331,197796
340368,144138
1303063,579349
916260,399494
479498,204425
1362255,607222
170883,72095
1268931,563186
449585,190980
392640,167548
427229,181561
1777712,786819
572274,245706
1407647,629278
1794702,793744
949422,415743
2252869,998677
1811847,801146
318443,134304
2092812,925244
55234,24310
284059,119232
1542462,687810
2105659,929775
1652162,735450
1586466,707993
1536981,685279
1239171,549417
726706,316673
204499,86507
1853789,818672
243731,102216
152190,63657
194606,81605
237142,99420
470898,200060
1172240,516586
264344,110388
2013782,891982
1614920,719461
1443645,646118
851510,370397
1551261,691905
1227027,544200
1470858,656985
1538855,686174
2002457,886083
1489192,664787
666795,289402
751123,326503
108045,45879
747646,325342
686477,298684
447754,189979
260172,108894
897581,391247
1977724,874748
772586,336298
1997599,884363
255518,107352
2138209,944463
146141,61505
1618365,721432
335400,141985
6445,2274
784881,342064
2075331,918553
1822574,805405
1914251,844381
844614,367200
1611417,718011
1747668,774597
266606,111270
1066334,467933
802883,348936
1790584,791841
1078300,473529
1705229,757922
1413293,632490
103465,43613
294833,123947
1648124,734134
210145,88462
1299931,577618
709931,309679
272524,113531
456161,193589
1770549,784281
1846011,815721
343723,145423
1541407,687213
932839,407779
2188591,968025
63940,27960
1637706,729833
1930738,852984
701095,305132
2207257,977156
1089435,479346
378903,161892
1271954,564670
1572779,701379
1095051,481046
855656,372617
1801176,796746
750202,326004
256456,107891
257961,108214
1556940,694104
2159494,953825
1001936,438757
1203315,532270
1130814,496217
748493,325467
473059,201306
1646240,733175
720032,313419
1336039,594635
1852941,818366
1794081,793523
267847,111681
2082432,921623
1619236,721705
1636659,729687
1220155,540494
395605,168519
782672,340892
